edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,1,2,87946f66-c5ea-440a-931c-e3c8a35085d6,52f80ab5-48f0-4554-b16f-3d1ba3c3e42b,eea24c6f-e5c9-4010-be82-6350003c8cdf,4d16a699-7b41-4f59-8aa6-966bde716675
2,1,3,87946f66-c5ea-440a-931c-e3c8a35085d6,aed56c65-96f7-43ec-9d42-108faa908fb3,eea24c6f-e5c9-4010-be82-6350003c8cdf,d2db9308-13c3-4929-9861-2d4493e44352
3,2,3,87946f66-c5ea-440a-931c-e3c8a35085d6,2393b431-39ca-4d73-bc6b-563573ea30dc,4d16a699-7b41-4f59-8aa6-966bde716675,d2db9308-13c3-4929-9861-2d4493e44352
