edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,1,2,f0fca04c-4ac1-426d-bf78-441813fe2ecf,5083ab2c-94cb-4314-98b6-2b1ccb900e47,94cb480d-1237-4f50-85b8-6f38279dbdb0,f9bfb3e5-f4d4-4bd7-878b-e2cf04e13247
2,1,3,f0fca04c-4ac1-426d-bf78-441813fe2ecf,f7e5138d-ec49-4749-9a59-96fb40aa30a4,94cb480d-1237-4f50-85b8-6f38279dbdb0,1a0fa0f7-a838-4a88-a8e6-4afc886806e6
3,1,4,f0fca04c-4ac1-426d-bf78-441813fe2ecf,d4ef2a53-c9b0-4de8-8960-13373f575d56,94cb480d-1237-4f50-85b8-6f38279dbdb0,f6b58a4d-b0d2-4b7c-90d5-dae925228ff9
4,2,3,f0fca04c-4ac1-426d-bf78-441813fe2ecf,f86c16e1-1a4f-40aa-92e2-821b56f01959,f9bfb3e5-f4d4-4bd7-878b-e2cf04e13247,1a0fa0f7-a838-4a88-a8e6-4afc886806e6
5,2,4,f0fca04c-4ac1-426d-bf78-441813fe2ecf,cc32e883-d27f-4463-80c8-c148da0e04e4,f9bfb3e5-f4d4-4bd7-878b-e2cf04e13247,f6b58a4d-b0d2-4b7c-90d5-dae925228ff9
6,3,4,f0fca04c-4ac1-426d-bf78-441813fe2ecf,34e07448-0036-452e-bc95-53db077e4046,1a0fa0f7-a838-4a88-a8e6-4afc886806e6,f6b58a4d-b0d2-4b7c-90d5-dae925228ff9
