edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,1,2,585de00c-c167-4855-9eb0-09ffb347b307,7cb5d366-087a-4a40-977f-ed8c37c4c7f0,f4818b34-2ed8-47f2-a9ca-450273ce22e8,ee65e939-764a-4893-b4bd-3e5d127c48f6
2,1,3,585de00c-c167-4855-9eb0-09ffb347b307,77788d5d-ae33-4129-b263-6b58326b23ac,f4818b34-2ed8-47f2-a9ca-450273ce22e8,16055094-e782-40bf-8d6d-1cf1581b02ff
3,1,4,585de00c-c167-4855-9eb0-09ffb347b307,3db6b863-496b-43b0-9efe-0d27ab87240a,f4818b34-2ed8-47f2-a9ca-450273ce22e8,8444b72d-1f6b-4382-a1f1-acf4e9416680
4,2,3,585de00c-c167-4855-9eb0-09ffb347b307,a587b19e-91f7-4c77-a6cc-36280c6286e0,ee65e939-764a-4893-b4bd-3e5d127c48f6,16055094-e782-40bf-8d6d-1cf1581b02ff
5,2,4,585de00c-c167-4855-9eb0-09ffb347b307,5563aa42-f97e-4e96-a898-398278348564,ee65e939-764a-4893-b4bd-3e5d127c48f6,8444b72d-1f6b-4382-a1f1-acf4e9416680
6,2,6,585de00c-c167-4855-9eb0-09ffb347b307,9d274a45-79e8-4103-a19b-85d85d568589,ee65e939-764a-4893-b4bd-3e5d127c48f6,289b46fa-80cc-4191-85dc-24fd4467ff1c
7,3,4,585de00c-c167-4855-9eb0-09ffb347b307,4926b3c1-b314-4d1a-a785-f901c79c24ae,16055094-e782-40bf-8d6d-1cf1581b02ff,8444b72d-1f6b-4382-a1f1-acf4e9416680
