edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,1,2,c166143f-2397-4bca-b128-153f2938926a,45b4151a-685a-439d-a830-149df2d2bc64,f158bac9-c0ec-400e-824b-1111e47a3a18,a9fe7e14-9bf4-4ebe-bee1-287f4c0883b7
2,1,3,c166143f-2397-4bca-b128-153f2938926a,1780c628-a353-466d-9c76-f3cf8153f811,f158bac9-c0ec-400e-824b-1111e47a3a18,506974f6-db3f-40a7-a845-eea0094db5ef
3,2,3,c166143f-2397-4bca-b128-153f2938926a,35c847f0-71ba-4dc8-94f1-0873022e3acb,a9fe7e14-9bf4-4ebe-bee1-287f4c0883b7,506974f6-db3f-40a7-a845-eea0094db5ef
