edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,1,2,ae3d1391-1936-455c-85ec-e4e7bf18043d,de73dfbf-a4b9-4859-a187-cfe4b68df1e0,46b78937-8cc4-467f-82b4-2b67a7f0f02f,aded6e5a-2e88-4247-8ccb-0b44cf43d86e
2,1,5,ae3d1391-1936-455c-85ec-e4e7bf18043d,6d3eeeda-7035-40cd-bc69-73d1cc7723b7,46b78937-8cc4-467f-82b4-2b67a7f0f02f,2e17e958-1e73-4098-8585-d9fc79b345bf
3,2,3,ae3d1391-1936-455c-85ec-e4e7bf18043d,ca3349de-b19f-48c5-8ba5-bebc0de38724,aded6e5a-2e88-4247-8ccb-0b44cf43d86e,000cb8e7-69f0-43c1-ae74-8a6b1053606a
4,2,4,ae3d1391-1936-455c-85ec-e4e7bf18043d,062088dc-b47e-43cd-bdf1-1b8bc0bdebb1,aded6e5a-2e88-4247-8ccb-0b44cf43d86e,150b1d89-5349-4d93-975d-bbe19c763fcc
5,3,4,ae3d1391-1936-455c-85ec-e4e7bf18043d,6cf0d923-9e93-4a87-87c6-827f2141d7d7,000cb8e7-69f0-43c1-ae74-8a6b1053606a,150b1d89-5349-4d93-975d-bbe19c763fcc
6,4,5,ae3d1391-1936-455c-85ec-e4e7bf18043d,eb9fb66c-276f-4acf-8164-d5edfb37c5e9,150b1d89-5349-4d93-975d-bbe19c763fcc,2e17e958-1e73-4098-8585-d9fc79b345bf
