edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,2,3,0ac7bf5b-2b5f-489f-8cff-5bc6a223467a,6156c44d-2981-424e-af64-ac5bb281e584,3c685d73-c2bf-40e3-87c5-2b01f9db3548,03d0b8d0-c1ad-4b9f-b51c-256dfa321a65
2,2,4,0ac7bf5b-2b5f-489f-8cff-5bc6a223467a,3c1e95bc-17f4-4cf6-95a5-6ad0b7787ed3,3c685d73-c2bf-40e3-87c5-2b01f9db3548,240eb881-f689-4902-8dc0-bb7bf9fab98d
3,2,5,0ac7bf5b-2b5f-489f-8cff-5bc6a223467a,28428ce4-40d7-47ea-a833-c289771a7517,3c685d73-c2bf-40e3-87c5-2b01f9db3548,a79a4588-778c-48cd-9020-d9a34d48a944
4,3,4,0ac7bf5b-2b5f-489f-8cff-5bc6a223467a,4ddb9412-32fd-4f18-a18b-7ea5f9f9a266,03d0b8d0-c1ad-4b9f-b51c-256dfa321a65,240eb881-f689-4902-8dc0-bb7bf9fab98d
5,3,5,0ac7bf5b-2b5f-489f-8cff-5bc6a223467a,2e97e2de-29a0-44f9-aa0b-f0333b870193,03d0b8d0-c1ad-4b9f-b51c-256dfa321a65,a79a4588-778c-48cd-9020-d9a34d48a944
6,4,5,0ac7bf5b-2b5f-489f-8cff-5bc6a223467a,8e32787e-984f-4c4e-b57b-976e39114c86,240eb881-f689-4902-8dc0-bb7bf9fab98d,a79a4588-778c-48cd-9020-d9a34d48a944
