edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,1,3,109d0428-4663-4f2a-ac2b-4aa468bfa404,a958ad83-1897-4b7e-8846-076f7027123d,d50decf9-3a06-40f5-a079-35601b10af76,dd8e1c0f-78f5-4fb8-bcce-de71477ab977
2,1,4,109d0428-4663-4f2a-ac2b-4aa468bfa404,d1efd3ee-58ab-4475-a08a-cc58b888cba8,d50decf9-3a06-40f5-a079-35601b10af76,a6687d76-7887-450e-8a8c-9f87830a6fb6
3,3,4,109d0428-4663-4f2a-ac2b-4aa468bfa404,dfdd29d5-2108-435a-8785-7d2d6b6a066f,dd8e1c0f-78f5-4fb8-bcce-de71477ab977,a6687d76-7887-450e-8a8c-9f87830a6fb6
