edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,1,2,6b1cc489-2c90-41b8-acfe-30ab6c0c692c,217ae5db-9706-43e1-ad07-a3cb1366667f,e60b8cc1-6fa9-40a6-be37-dbc90427737a,0a4578f8-7ea7-4fa2-a687-11e18e2fdc9d
2,1,3,6b1cc489-2c90-41b8-acfe-30ab6c0c692c,782fec45-3694-4040-a21d-f3d465cb1aea,e60b8cc1-6fa9-40a6-be37-dbc90427737a,22f5b1b0-e842-4f9f-bab8-60207219eb8d
3,2,3,6b1cc489-2c90-41b8-acfe-30ab6c0c692c,8cd6e884-7d53-4bbb-8713-2fe5e0ec5989,0a4578f8-7ea7-4fa2-a687-11e18e2fdc9d,22f5b1b0-e842-4f9f-bab8-60207219eb8d
