edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,1,2,24d574ff-7ee4-4ff7-952b-aee5dde2e2a7,722713aa-d5f2-4c03-b442-2c07450822e3,6810a3f1-5779-42ce-8d93-0e8275ae4314,c9994089-f9ff-4734-a672-9cce3629e1e2
2,1,3,24d574ff-7ee4-4ff7-952b-aee5dde2e2a7,7680fcce-c7ea-4408-8633-6f0ea5bf998d,6810a3f1-5779-42ce-8d93-0e8275ae4314,2004aaf8-92f7-436b-bf86-8114d8a6ae29
3,1,4,24d574ff-7ee4-4ff7-952b-aee5dde2e2a7,d98f8619-3a96-479e-8929-1d4b6933dfb1,6810a3f1-5779-42ce-8d93-0e8275ae4314,d26bffb2-3c5d-474b-b4d9-ba9355e80fd2
4,1,5,24d574ff-7ee4-4ff7-952b-aee5dde2e2a7,9fc4efd7-0def-4da3-8f8c-c154ecce23c0,6810a3f1-5779-42ce-8d93-0e8275ae4314,73c9c0f0-069d-4be9-a09d-efa7185c6694
5,2,4,24d574ff-7ee4-4ff7-952b-aee5dde2e2a7,600d9176-1e80-4c84-9e33-32ec9a72c12e,c9994089-f9ff-4734-a672-9cce3629e1e2,d26bffb2-3c5d-474b-b4d9-ba9355e80fd2
6,2,5,24d574ff-7ee4-4ff7-952b-aee5dde2e2a7,aafb974d-1eae-4eac-aee1-444a01b90465,c9994089-f9ff-4734-a672-9cce3629e1e2,73c9c0f0-069d-4be9-a09d-efa7185c6694
7,3,4,24d574ff-7ee4-4ff7-952b-aee5dde2e2a7,a0663743-19b0-42ca-ad06-ab0523a952a0,2004aaf8-92f7-436b-bf86-8114d8a6ae29,d26bffb2-3c5d-474b-b4d9-ba9355e80fd2
8,3,5,24d574ff-7ee4-4ff7-952b-aee5dde2e2a7,74d2924b-7c77-407c-acd5-2d76cb5a8d08,2004aaf8-92f7-436b-bf86-8114d8a6ae29,73c9c0f0-069d-4be9-a09d-efa7185c6694
9,4,5,24d574ff-7ee4-4ff7-952b-aee5dde2e2a7,2ef7e049-da82-4cde-b0c2-547a5a7f019e,d26bffb2-3c5d-474b-b4d9-ba9355e80fd2,73c9c0f0-069d-4be9-a09d-efa7185c6694
