edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,1,2,fe6863ce-bd94-4bbc-b84c-0bd98038f3a1,3a63ccf3-7cb6-4a6b-8624-7de91257e834,5df5a37d-b7d3-48b4-97d1-21a681de02eb,6a0a2ac9-8588-44db-a9e6-f93899b98475
2,3,4,fe6863ce-bd94-4bbc-b84c-0bd98038f3a1,e6a9cfd8-6e06-4ae2-9d79-75871f99c2a2,ff35f753-fb56-4a5c-9a81-4d927bc93f73,9b3326c4-4b4c-4acb-9eaf-e7e0a77f9e87
3,3,5,fe6863ce-bd94-4bbc-b84c-0bd98038f3a1,2b1c46e3-322f-4896-8f15-6de14c7789ff,ff35f753-fb56-4a5c-9a81-4d927bc93f73,4ad7a463-2a98-43b6-9887-172464539724
4,4,5,fe6863ce-bd94-4bbc-b84c-0bd98038f3a1,bfd9887c-8949-4751-9c38-41ea6f78a497,9b3326c4-4b4c-4acb-9eaf-e7e0a77f9e87,4ad7a463-2a98-43b6-9887-172464539724
