edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,1,2,1754624d-66d5-4fd4-b40d-60b95200bdf9,f34b17b3-87ce-4010-8e66-5fe1cb3b7916,16b44bcd-7321-4dde-9543-58ec8c85718c,e9e93785-b5cd-4d90-9b13-2c5206444873
2,1,3,1754624d-66d5-4fd4-b40d-60b95200bdf9,3a425be0-f27f-47b7-8a97-2696ff8e87e1,16b44bcd-7321-4dde-9543-58ec8c85718c,dbee2cec-a74a-4818-9a2b-ccee31920990
3,1,4,1754624d-66d5-4fd4-b40d-60b95200bdf9,83cdd52a-8248-4b56-9830-39e8b31e3878,16b44bcd-7321-4dde-9543-58ec8c85718c,b387d686-8c9f-4e46-8962-907497ceee24
4,3,4,1754624d-66d5-4fd4-b40d-60b95200bdf9,42e5371a-a1c1-4d72-93fa-a79ad2cb12ab,dbee2cec-a74a-4818-9a2b-ccee31920990,b387d686-8c9f-4e46-8962-907497ceee24
